chart,family,bucket,x_name,shape,E,tokens,N,backend,math,us,bytes,gbps,peak_gbps
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,8192,18432,triton,fast,220.72108000000003,471859200,2137.8075895605434,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,16384,18432,te,standard,96.01816000000014,603979776,6290.266091331047,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,16384,18432,te,standard,147.57406000000006,943718400,6394.879967387219,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,16384,18432,cutedsl,standard,97.47179999999997,603979776,6196.456575132501,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,16384,18432,triton,standard,143.5403200000001,603979776,4207.736028455277,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,16384,18432,cutedsl,standard,331.3812000000001,943718400,2847.8332506491006,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,16384,18432,triton,standard,530.20696,943718400,1779.9057183255386,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,16384,18432,te,fast,95.73028000000006,603979776,6309.182173080446,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,16384,18432,te,fast,141.65292000000005,943718400,6662.188114441973,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,16384,18432,cutedsl,fast,96.7588799999999,603979776,6242.112103819314,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,16384,18432,triton,fast,143.4191,603979776,4211.292470807584,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,16384,18432,cutedsl,fast,152.92130000000006,943718400,6171.26848908556,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,16384,18432,triton,fast,430.76542,943718400,2190.794237847597,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,32768,18432,te,standard,173.46278000000032,1207959552,6963.796798367914,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,32768,18432,te,standard,287.25985999999995,1887436800,6570.48569194457,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,32768,18432,cutedsl,standard,183.56677999999994,1207959552,6580.491045275187,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,32768,18432,triton,standard,270.9836399999998,1207959552,4457.684427000836,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,32768,18432,cutedsl,standard,653.5348799999997,1887436800,2888.0429457720766,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,32768,18432,triton,standard,1043.94534,1887436800,1807.9843145810678,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,32768,18432,te,fast,174.30628000000033,1207959552,6930.097710765198,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,32768,18432,te,fast,290.13732000000005,1887436800,6505.322376314773,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,32768,18432,cutedsl,fast,187.00938000000016,1207959552,6459.352744766059,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,32768,18432,triton,fast,271.05393999999984,1207959552,4456.52829101101,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,32768,18432,cutedsl,fast,305.3754,1887436800,6180.710037547228,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,32768,18432,triton,fast,847.0848000000001,1887436800,2228.15566989279,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,65536,18432,te,standard,328.9051800000005,2415919104,7345.336136086384,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,65536,18432,te,standard,578.4052999999999,3774873600,6526.346836725044,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,65536,18432,cutedsl,standard,357.2142400000002,2415919104,6763.2217125498655,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,65536,18432,triton,standard,525.5058000000001,2415919104,4597.3214834165465,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,65536,18432,cutedsl,standard,1300.2255999999998,3774873600,2903.2450983890803,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,65536,18432,triton,standard,2070.5012599999995,3774873600,1823.1689460551213,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,65536,18432,te,fast,328.60044,2415919104,7352.148110331197,7928.1
